field	displayName	ENSEMBL	NCBI	UNIPROT	uniprot_use	url	selected	uniprot_match	label
dip	DIP			DIP		https://dip.doe-mbi.ucla.edu/dip/Browse.cgi?ID=%s	UNIPROT		Database of interacting proteins
disprot	DisProt			DisProt		https://disprot.org/%s	UNIPROT		Database of protein disorder
dmdm	DMDM			DMDM		http://bioinf.umbc.edu/dmdm/gene_prot_page.php?search_type=protein&id=%s	UNIPROT		Domain mapping of disease mutations (DMDM)
dnasu	DNASU			DNASU		https://dnasu.org/DNASU/AdvancedSearchOptions.do?geneName=%s	UNIPROT		The DNASU plasmid repository
drugbank	DrugBank			DrugBank		https://www.drugbank.ca/drugs/%s	UNIPROT		Drug and drug target database
eggnog	eggNOG			eggNOG		http://eggnogdb.embl.de/#/app/results?seqid=%s&target_nogs=%s|uniprot_gn_id|eggnog	UNIPROT		evolutionary genealogy of genes: Non-supervised Orthologous Groups
embl	EMBL			EMBL	0	|	UNIPROT		EMBL nucleotide sequence database
embl_cds	EMBL-CDS			EMBL-CDS	0		UNIPROT		
esther	ESTHER			ESTHER		http://bioweb.supagro.inra.fr/ESTHER/gene_locus?name=%s&class=Gene_locus	UNIPROT		ESTHER database of the Alpha/Beta-hydrolase fold superfamily of proteins
genecards	GeneCards			GeneCards		https://www.genecards.org/cgi-bin/carddisp.pl?gene=%s	UNIPROT		"GeneCards: human genes, protein and diseases"
genedb	GeneDB			GeneDB		https://www.genedb.org/gene/%s	UNIPROT		GeneDB pathogen genome database from Sanger Institute
gene_orfname	Gene_ORFName			Gene_ORFName			UNIPROT		
genereviews	GeneReviews			GeneReviews		https://www.ncbi.nlm.nih.gov/books/NBK1116/?term=%s	UNIPROT		"GeneReviews a resource of expert-authored, peer-reviewed disease descriptions."
gene_synonym	Gene_Synonym			Gene_Synonym			UNIPROT		
genetree	GeneTree			GeneTree		http://www.ensemblgenomes.org/id-genetree/%s	UNIPROT		Ensembl GeneTree
genomernai	GenomeRNAi			GenomeRNAi		http://genomernai.org/genedetails/%s	UNIPROT		Database of phenotypes from RNA interference screens in Drosophila and Homo sapiens
gi	GI			GI	0		UNIPROT		
glyconnect	GlyConnect			GlyConnect		https://glyconnect.expasy.org/browser/proteins/%s	UNIPROT		GlyConnect protein glycosylation platform
guidetopharmacology	GuidetoPHARMACOLOGY			GuidetoPHARMACOLOGY		http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=%s	UNIPROT		IUPHAR/BPS Guide to PHARMACOLOGY
hogenom	HOGENOM			HOGENOM		http://hogenom.univ-lyon1.fr/query_sequence?seq=%s|uniprot_gn_id	UNIPROT		The HOGENOM Database of Homologous Genes from Fully Sequenced Organisms
hpa	HPA			HPA		http://www.proteinatlas.org/tissue_profile.php?antibody_id=%s	UNIPROT		Human Protein Atlas
kegg	KEGG			KEGG		https://www.genome.jp/dbget-bin/www_bget?%s	UNIPROT		KEGG: Kyoto Encyclopedia of Genes and Genomes
ko	KO			KO		https://www.genome.jp/dbget-bin/www_bget?ko:%s	UNIPROT		KEGG Orthology (KO)
merops	MEROPS			MEROPS		https://www.ebi.ac.uk/merops/cgi-bin/pepsum?mid=%s	UNIPROT		MEROPS protease database
mim	MIM			MIM		https://www.omim.org/entry/%s	UNIPROT		Online Mendelian Inheritance in Man (OMIM)
mint	MINT			MINT		https://mint.bio.uniroma2.it/cgi-bin/protein.py?id=%s|uniprot_gn_id	UNIPROT		Molecular INTeraction database
ncbi_taxid	NCBI_TaxID			NCBI_TaxID	0		UNIPROT		
nextprot	neXtProt			neXtProt		https://www.nextprot.org/entry/%s	UNIPROT		neXtProt; the human protein knowledge platform
oma	OMA			OMA		https://omabrowser.org/oma/group/%s|uniprot_gn_id	UNIPROT		Identification of Orthologs from Complete Genome Data
orphanet	Orphanet			Orphanet		https://www.orpha.net/consor/cgi-bin/OC_Exp.php?Lng=GB&Expert=%s	UNIPROT		Orphanet; a database dedicated to information on rare diseases and orphan drugs
orthodb	OrthoDB			OrthoDB		https://www.orthodb.org/?query=%s|uniprot_gn_id	UNIPROT		Database of Orthologous Groups
patric	PATRIC			PATRIC		https://www.patricbrc.org/view/Feature/%s	UNIPROT		Pathosystems Resource Integration Center (PATRIC)
peroxibase	PeroxiBase			PeroxiBase		http://peroxibase.toulouse.inra.fr/display_perox/view_perox/%s	UNIPROT		"PeroxiBase, a peroxidase database"
pharmgkb	PharmGKB			PharmGKB		https://www.pharmgkb.org/gene/%s	UNIPROT		The Pharmacogenetics and Pharmacogenomics Knowledge Base
proteomicsdb	ProteomicsDB			ProteomicsDB		https://www.proteomicsdb.org/proteomicsdb/#protein/proteinDetails/%s	UNIPROT		ProteomicsDB: a multi-organism proteome resource
rebase	REBASE			REBASE		http://rebase.neb.com/rebase/enz/%s.html	UNIPROT		Restriction enzymes and methylases database
string	STRING			STRING		https://string-db.org/network/%s	UNIPROT		STRING: functional protein association networks
swisslipids	SwissLipids			SwissLipids		https://www.swisslipids.org/#/entity/%s/	UNIPROT		SwissLipids knowledge resource for lipid biology
tcdb	TCDB			TCDB		http://www.tcdb.org/search/result.php?tc=%s	UNIPROT		Transport Classification Database
treefam	TreeFam			TreeFam		http://www.treefam.org/family/%s	UNIPROT		TreeFam database of animal gene trees
unipathway	UniPathway			UniPathway		http://www.unipathway.org?upid=%s&entryac=%s|unipathway|uniprot_gn_id	UNIPROT		UniPathway: a resource for the exploration and annotation of metabolic pathways
uniref100	UniRef100			UniRef100			UNIPROT		
uniref50	UniRef50			UniRef50			UNIPROT		
uniref90	UniRef90			UniRef90			UNIPROT		
